t       	v       	Ic       	Id
 0    	 0    	 1e-09	 0.001
 5e-05	 0.0647754	 1.20777e-08	 0.00106582
 0.0001	 0.122521	 1.11312e-07	 0.00112627
 0.00015	 0.166976	 6.15323e-07	 0.00117395
 0.0002	 0.193334	 1.69584e-06	 0.00120268
 0.00025	 0.198769	 2.09008e-06	 0.00120865
 0.0003	 0.182736	 1.12814e-06	 0.00119108
 0.00035	 0.147033	 2.85751e-07	 0.00115244
 0.0004	 0.0955914	 3.95115e-08	 0.00109788
 0.00045	 0.0340433	 3.70379e-09	 0.00103433
 0.0005	-0.0309011	 3.04677e-10	 0.000969338
 0.00055	-0.0921918	 2.88444e-11	 0.000909933
 0.0006	-0.143211	 4.05377e-12	 0.000861917
 0.00065	-0.178493	 1.04356e-12	 0.000829472
 0.0007	-0.194317	 5.67805e-13	 0.000815123
 0.00075	-0.189101	 6.93949e-13	 0.000819839
 0.0008	-0.163561	 1.85326e-12	 0.000843127
 0.00085	-0.120617	 9.66608e-12	 0.00088302
 0.0009	-0.0650588	 8.18996e-11	 0.000935999
 0.00095	-0.00300395	 8.90888e-10	 0.000996998
 0.001	 0.0587772	 9.58942e-09	 0.00105964
 0.00105	 0.113609	 7.9009e-08	 0.00111684
 0.0011	 0.155636	 3.97821e-07	 0.00116169
 0.00115	 0.180458	 1.03347e-06	 0.0011886
 0.0012	 0.185588	 1.25893e-06	 0.0011942
 0.00125	 0.170711	 7.10393e-07	 0.001178
 0.0013	 0.137685	 1.99449e-07	 0.00114242
 0.00135	 0.0903138	 3.22529e-08	 0.00109235
 0.0014	 0.033911	 3.68499e-09	 0.0010342
 0.00145	-0.0253052	 3.77843e-10	 0.000974855
 0.0015	-0.0809004	 4.45317e-11	 0.000920736
 0.00155	-0.12693	 7.5824e-12	 0.000877098
 0.0016	-0.158581	 2.24454e-12	 0.000847706
 0.00165	-0.172677	 1.30517e-12	 0.000834777
 0.0017	-0.168003	 1.56222e-12	 0.000839053
 0.00175	-0.1454	 3.72644e-12	 0.000859885
 0.0018	-0.10764	 1.59228e-11	 0.000895256
 0.00185	-0.0590888	 1.03039e-10	 0.000941784
 0.0019	-0.00519731	 8.18816e-10	 0.000994809
 0.00195	 0.0481124	 6.36286e-09	 0.00104869
 0.002	 0.0951045	 3.87785e-08	 0.00109737
 0.00205	 0.130852	 1.53354e-07	 0.00113513
 0.0021	 0.151756	 3.42667e-07	 0.00115751
 0.00215	 0.155913	 4.02081e-07	 0.00116199
 0.0022	 0.143282	 2.47358e-07	 0.00114841
 0.00225	 0.115645	 8.54454e-08	 0.00111899
 0.0023	 0.0763694	 1.88645e-08	 0.00107783
 0.00235	 0.0299997	 3.17033e-09	 0.00103022
 0.0024	-0.0182705	 4.9524e-10	 0.000981813
 0.00245	-0.0631843	 8.80223e-11	 0.000937814
 0.0025	-0.0999983	 2.13631e-11	 0.000902502
 0.00255	-0.124989	 8.17021e-12	 0.000878917
 0.0026	-0.13583	 5.38457e-12	 0.000868783
 0.00265	-0.131807	 6.28568e-12	 0.000872537
 0.0027	-0.113845	 1.25421e-11	 0.000889395
 0.00275	-0.0843588	 3.89854e-11	 0.00091742
 0.0028	-0.046933	 1.64455e-10	 0.000953618
 0.00285	-0.0058935	 7.97181e-10	 0.000994115
 0.0029	 0.0341963	 3.72566e-09	 0.00103449
 0.00295	 0.0690466	 1.42341e-08	 0.00107024
 0.003	 0.095104	 3.87778e-08	 0.00109737
 0.00305	 0.109917	 6.85496e-08	 0.00111294
 0.0031	 0.112362	 7.53088e-08	 0.00111552
 0.00315	 0.102717	 5.197e-08	 0.00110536
