t       	v
 0.002660	-0.907119
 0.002670	-0.844896
 0.002680	-0.779494
 0.002690	-0.711633
 0.002700	-0.642039
 0.002710	-0.571434
 0.002720	-0.500532
 0.002730	-0.430029
 0.002740	-0.360600
 0.002750	-0.292890
 0.002760	-0.227510
 0.002770	-0.165031
 0.002780	-0.105977
 0.002790	-0.050825
 0.002800	 0.000004
 0.002810	 0.046144
 0.002820	 0.087291
 0.002830	 0.123203
 0.002840	 0.153702
 0.002850	 0.178674
 0.002860	 0.198072
 0.002870	 0.211914
 0.002880	 0.220281
 0.002890	 0.223318
 0.002900	 0.221231
 0.002910	 0.214283
 0.002920	 0.202791
 0.002930	 0.187125
 0.002940	 0.167699
 0.002950	 0.144969
 0.002960	 0.119430
 0.002970	 0.091604
 0.002980	 0.062042
 0.002990	 0.031311
 0.003000	-0.000007
 0.003010	-0.031325
 0.003020	-0.062055
 0.003030	-0.091617
 0.003040	-0.119441
 0.003050	-0.144980
 0.003060	-0.167708
 0.003070	-0.187132
 0.003080	-0.202797
 0.003090	-0.214287
 0.003100	-0.221233
 0.003110	-0.223318
 0.003120	-0.220278
 0.003130	-0.211909
 0.003140	-0.198065
 0.003150	-0.178664
 0.003160	-0.153690
 0.003170	-0.123189
 0.003180	-0.087275
 0.003190	-0.046125
 0.003200	 0.000017
 0.003210	 0.050847
 0.003220	 0.106001
 0.003230	 0.165057
 0.003240	 0.227538
 0.003250	 0.292919
 0.003260	 0.360630
 0.003270	 0.430059
 0.003280	 0.500562
 0.003290	 0.571464
 0.003300	 0.642069
 0.003310	 0.711662
 0.003320	 0.779523
 0.003330	 0.844924
 0.003340	 0.907145
 0.003350	 0.965477
 0.003360	 1.019227
 0.003370	 1.067728
 0.003380	 1.110345
 0.003390	 1.146481
 0.003400	 1.175583
 0.003410	 1.197147
 0.003420	 1.210727
 0.003430	 1.215935
 0.003440	 1.212448
 0.003450	 1.200015
 0.003460	 1.178453
 0.003470	 1.147656
 0.003480	 1.107596
 0.003490	 1.058323
 0.003500	 0.999965
 0.003510	 0.932731
 0.003520	 0.856909
 0.003530	 0.772862
 0.003540	 0.681031
 0.003550	 0.581929
 0.003560	 0.476139
 0.003570	 0.364307
 0.003580	 0.247142
 0.003590	 0.125409
 0.003600	-0.000079
 0.003610	-0.128464
 0.003620	-0.258851
 0.003630	-0.390315
 0.003640	-0.521908
 0.003650	-0.652668
 0.003660	-0.781622
 0.003670	-0.907801
 0.003680	-1.030241
 0.003690	-1.147998
 0.003700	-1.260149
 0.003710	-1.365802
 0.003720	-1.464107
 0.003730	-1.554259
 0.003740	-1.635506
 0.003750	-1.707155
 0.003760	-1.768581
 0.003770	-1.819229
 0.003780	-1.858619
 0.003790	-1.886354
 0.003800	-1.902120
 0.003810	-1.905691
 0.003820	-1.896930
 0.003830	-1.875792
 0.003840	-1.842324
 0.003850	-1.796664
 0.003860	-1.739046
 0.003870	-1.669789
 0.003880	-1.589304
 0.003890	-1.498087
 0.003900	-1.396715
 0.003910	-1.285842
 0.003920	-1.166197
 0.003930	-1.038575
 0.003940	-0.903834
 0.003950	-0.762884
 0.003960	-0.616686
 0.003970	-0.466240
 0.003980	-0.312578
 0.003990	-0.156760
