t       	v       	Ic       	Id
 0.002425	-0.00818396	 7.29958e-10	 0.000991833
 0.00245	-0.00591121	 7.96639e-10	 0.000994098
 0.002475	-0.00309522	 8.87766e-10	 0.000996907
 0.0025	-5.64964e-07	 9.99978e-10	 0.000999999
 0.002525	 0.00309414	 1.12638e-09	 0.0010031
 0.00255	 0.00591028	 1.25523e-09	 0.00100592
 0.002575	 0.00818327	 1.3699e-09	 0.0010082
 0.0026	 0.00967599	 1.45086e-09	 0.0010097
 0.002625	 0.010191	 1.47988e-09	 0.00101022
 0.00265	 0.00958124	 1.44558e-09	 0.0010096
 0.002675	 0.00775815	 1.34769e-09	 0.00100777
 0.0027	 0.00469776	 1.19804e-09	 0.0010047
 0.002725	 0.000443613	 1.01721e-09	 0.00100044
 0.00275	-0.00489315	 8.2845e-10	 0.000995113
 0.002775	-0.0111368	 6.51591e-10	 0.000988894
 0.0028	-0.0180528	 4.99404e-10	 0.000982029
 0.002825	-0.0253567	 3.77095e-10	 0.000974804
 0.00285	-0.0327248	 2.84039e-10	 0.000967543
 0.002875	-0.0398075	 2.16307e-10	 0.000960589
 0.0029	-0.0462439	 1.68873e-10	 0.000954291
 0.002925	-0.051677	 1.37027e-10	 0.000948991
 0.00295	-0.0557699	 1.17068e-10	 0.000945008
 0.002975	-0.058221	 1.06536e-10	 0.000942626
 0.003	-0.0587786	 1.04276e-10	 0.000942085
 0.003025	-0.057254	 1.10573e-10	 0.000943565
 0.00305	-0.0535322	 1.2759e-10	 0.000947184
 0.003075	-0.0475803	 1.60412e-10	 0.000952986
 0.0031	-0.0394524	 2.19281e-10	 0.000960937
 0.003125	-0.029292	 3.24128e-10	 0.000970922
 0.00315	-0.0173302	 5.1348e-10	 0.000982745
 0.003175	-0.00388049	 8.61354e-10	 0.000996123
 0.0032	 0.0106691	 1.50735e-09	 0.0010107
 0.003225	 0.0258681	 2.70452e-09	 0.00102604
 0.00325	 0.0412176	 4.88071e-09	 0.00104164
 0.003275	 0.0561871	 8.68019e-09	 0.00105698
 0.0033	 0.0702332	 1.48987e-08	 0.00107147
 0.003325	 0.0828185	 2.41752e-08	 0.00108453
 0.00335	 0.0934325	 3.63632e-08	 0.00109561
 0.003375	 0.101611	 4.98041e-08	 0.00110419
 0.0034	 0.106953	 6.11648e-08	 0.00110981
 0.003425	 0.109141	 6.6536e-08	 0.00111212
 0.00345	 0.107954	 6.35655e-08	 0.00111087
 0.003475	 0.103276	 5.30986e-08	 0.00110594
 0.0035	 0.0951084	 3.87843e-08	 0.00109737
 0.003525	 0.0835718	 2.48858e-08	 0.00108532
 0.00355	 0.0689056	 1.41571e-08	 0.00107009
 0.003575	 0.0514647	 7.23847e-09	 0.00105213
 0.0036	 0.0317102	 3.38592e-09	 0.00103196
 0.003625	 0.0101976	 1.48025e-09	 0.00101022
 0.00365	-0.0124402	 6.19732e-10	 0.000987599
 0.003675	-0.0355111	 2.55174e-10	 0.000964804
 0.0037	-0.0582864	 1.06269e-10	 0.000942563
 0.003725	-0.0800243	 4.60578e-11	 0.000921577
 0.00375	-0.0999942	 2.13665e-11	 0.000902505
 0.003775	-0.117502	 1.08966e-11	 0.00088595
 0.0038	-0.131914	 6.25971e-12	 0.000872436
 0.003825	-0.142681	 4.13729e-12	 0.000862409
 0.00385	-0.149355	 3.20058e-12	 0.000856222
 0.003875	-0.151612	 2.93442e-12	 0.000854134
 0.0039	-0.149263	 3.21196e-12	 0.000856307
 0.003925	-0.14226	 4.2047e-12	 0.000862799
 0.00395	-0.130709	 6.55672e-12	 0.000873562
 0.003975	-0.114861	 1.20617e-11	 0.000888437
 0.004	-0.0951128	 2.57793e-11	 0.000907149
 0.004025	-0.0719955	 6.27212e-11	 0.0009293
 0.00404999	-0.0461587	 1.69427e-10	 0.000954374
 0.00407499	-0.018353	 4.93671e-10	 0.000981731
 0.00409999	 0.0105931	 1.50295e-09	 0.00101062
 0.00412499	 0.039799	 4.62154e-09	 0.00104019
 0.00414999	 0.0683587	 1.38624e-08	 0.00106953
 0.00417499	 0.0953706	 3.91774e-08	 0.00109764
 0.00419999	 0.119966	 1.00897e-07	 0.00112356
 0.00422499	 0.14134	 2.29556e-07	 0.00114633
 0.00424999	 0.158773	 4.48835e-07	 0.00116508
 0.00427499	 0.171662	 7.36848e-07	 0.00117903
 0.00429999	 0.179537	 9.97499e-07	 0.00118759
 0.00432499	 0.182078	 1.09994e-06	 0.00119037
 0.00434999	 0.179133	 9.82119e-07	 0.00118715
 0.00437499	 0.170715	 7.10489e-07	 0.001178
 0.00439999	 0.157013	 4.19462e-07	 0.00116318
 0.00442499	 0.138385	 2.04892e-07	 0.00114317
 0.00444999	 0.115344	 8.44624e-08	 0.00111867
 0.00447499	 0.0885511	 3.01388e-08	 0.00109051
 0.00449999	 0.0587904	 9.5943e-09	 0.00105965
 0.00452499	 0.026947	 2.81912e-09	 0.00102713
 0.00454999	-0.00601982	 7.93318e-10	 0.000993989
 0.00457499	-0.0391072	 2.22212e-10	 0.000961275
 0.00459999	-0.0712995	 6.44228e-11	 0.000929971
 0.00462499	-0.101601	 2.00861e-11	 0.00090098
 0.00464999	-0.129067	 6.98418e-12	 0.000875098
 0.00467499	-0.152834	 2.79969e-12	 0.000853005
 0.00469999	-0.17215	 1.33188e-12	 0.000835259
 0.00472499	-0.186395	 7.70068e-13	 0.000822291
 0.00474999	-0.195103	 5.50892e-13	 0.000814413
 0.00477499	-0.19798	 4.93184e-13	 0.000811819
 0.00479999	-0.194911	 5.54985e-13	 0.000814587
